timestamp,standard_mse,standard_lpd,input_weighted_mse,input_weighted_lpd,variational_input_weighted_mse,variational_input_weighted_lpd,variational_mean,variational_std,standard_log_sigma2,input_weighted_log_sigma2,variational_log_sigma2
2025-04-01 13:31:38,0.2025355100631714,-1.9999444484710691,0.2470671683549881,-1.162315011024475,0.2434347867965698,-1.2598624229431152,-0.0318622514605522,0.9418964982032776,-2.817852258682251,-2.948835611343384,-3.033370018005371
2025-04-01 13:53:56,0.1327195614576339,-5.010066986083984,0.175993874669075,-1.2774313688278198,0.1758812069892883,-1.4359222650527954,0.0323131643235683,0.9756985306739808,-2.7818751335144043,-2.8226993083953857,-2.8834729194641113
2025-04-01 14:09:26,0.1224335730075836,-2.1419484615325928,0.1284166574478149,-1.3490060567855835,0.1285536587238311,-1.6169755458831787,0.0055618677288293,0.9708161950111388,-3.1762163639068604,-3.0635359287261963,-3.0795440673828125
2025-04-01 14:25:47,0.2257095575332641,-2.4354541301727295,0.1816480457782745,-1.543413519859314,0.1742899119853973,-1.435097098350525,-0.0109206400811672,0.9864816069602966,-2.8233819007873535,-2.816453218460083,-2.768939971923828
2025-04-01 14:49:15,0.2112839818000793,-1.7334165573120115,0.2014702558517456,-1.092943549156189,0.2050259411334991,-1.0816746950149536,-0.0085204858332872,0.9896976351737976,-2.8788158893585205,-2.8853774070739746,-2.91261625289917
2025-04-01 15:06:52,0.105494737625122,-2.9951531887054443,0.1078670397400856,-2.523601770401001,0.1081472858786583,-2.610753059387207,-0.0073581230826675,0.9377277493476868,-2.986334800720215,-3.0413193702697754,-2.941518545150757
2025-04-01 15:24:01,0.1300779730081558,-2.702502489089966,0.1673720031976699,-1.1852264404296875,0.1673324406147003,-1.2046085596084597,-0.0037321879062801,0.9270575642585754,-2.632240056991577,-3.1823246479034424,-3.1798369884490967
2025-04-01 15:40:52,0.2805229425430298,-2.3156304359436035,0.4024448096752167,-1.8213502168655396,0.405787855386734,-1.5851101875305176,0.0063866339623928,0.9560531377792358,-3.232062816619873,-3.349203586578369,-3.3476016521453857
2025-04-25 21:35:43,1.9927399158477783,-5.9403839111328125,1.804877758026123,-3.170738220214844,2.5045483112335205,-2.8860666751861572,-0.0060494928620755,1.0111788511276243,-0.0009999998146668,0.0009999999310821,-0.0009999999310821
2025-04-25 22:04:23,0.12817691266536713,-3.815980911254883,0.16383036971092224,-1.7060215473175049,0.13940516114234924,-2.024665117263794,0.0014473629416897893,0.9691122770309448,-3.0383975505828857,-3.0958845615386963,-3.117231607437134
